folder,network,accuracy,precision,sensitivity,specificity,fmeasure,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_fmeasure,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
40,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.365175485610962,0.6166666666666667,0.5689655172413793,0.9625,0.2708333333333333,0.7151702786377709,0.8783783771913807,0.3230793127256476,0.7750173611111111,65,175,9,231,0.004511356353759766
41,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.299271821975708,0.6854166666666667,0.6488294314381271,0.8083333333333333,0.5625,0.7198515769944341,0.7458563531790849,0.3825737122198728,0.755173611111111,135,105,46,194,0.004601955413818359
42,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.205120086669922,0.5833333333333334,0.5476190476190477,0.9583333333333334,0.20833333333333334,0.696969696969697,0.8333333319444445,0.25197631533948484,0.69625,50,190,10,230,0.004637241363525391
43,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.254528284072876,0.625,0.5828729281767956,0.8791666666666667,0.37083333333333335,0.7009966777408638,0.7542372874964092,0.2903059663150194,0.7081770833333334,89,151,29,211,0.004705190658569336
44,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.311565399169922,0.6375,0.5976331360946746,0.8416666666666667,0.43333333333333335,0.698961937716263,0.7323943656814125,0.3012599593876705,0.676423611111111,104,136,38,202,0.004772186279296875
45,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.3983516693115234,0.6270833333333333,0.5868945868945868,0.8583333333333333,0.3958333333333333,0.6971235194585448,0.7364341079562526,0.28666945556340695,0.7382638888888889,95,145,34,206,0.004545927047729492
46,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.3660197257995605,0.6104166666666667,0.5892255892255892,0.7291666666666666,0.49166666666666664,0.6517690875232774,0.6448087428170445,0.22733803407530942,0.6865277777777777,118,122,65,175,0.0044558048248291016
47,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.243400812149048,0.6770833333333334,0.6253687315634219,0.8833333333333333,0.4708333333333333,0.7322970639032815,0.8014184391479302,0.38878501749455197,0.7775347222222222,113,127,28,212,0.004445791244506836
48,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.559964895248413,0.5645833333333333,0.5378973105134475,0.9166666666666666,0.2125,0.6779661016949153,0.7183098581432256,0.18191598632930908,0.7039756944444444,51,189,20,220,0.004525899887084961
49,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.4037911891937256,0.6520833333333333,0.6102719033232629,0.8416666666666667,0.4625,0.7075306479859895,0.7449664424530427,0.3287121288590308,0.7676215277777778,111,129,38,202,0.004755973815917969
50,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.371647834777832,0.6541666666666667,0.5994623655913979,0.9291666666666667,0.37916666666666665,0.7287581699346405,0.8425925918124143,0.36918867638837066,0.7671874999999999,91,149,17,223,0.0047953128814697266
51,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.4086713790893555,0.59375,0.5812274368231047,0.6708333333333333,0.5166666666666667,0.6228239845261123,0.6108374381227402,0.18976871214392962,0.6362326388888889,124,116,79,161,0.0046863555908203125
52,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.3174054622650146,0.6416666666666667,0.5988372093023255,0.8583333333333333,0.425,0.7054794520547945,0.7499999994485295,0.3143838566185064,0.7314409722222222,102,138,34,206,0.004682064056396484
53,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.440913438796997,0.6270833333333333,0.5822102425876011,0.9,0.3541666666666667,0.707037643207856,0.7798165130460399,0.30333996424043497,0.7108854166666667,85,155,24,216,0.004525423049926758
54,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.4524917602539062,0.65,0.6258741258741258,0.7458333333333333,0.5541666666666667,0.6806083650190113,0.6855670099558934,0.30566704247435844,0.7195833333333332,133,107,61,179,0.004793643951416016
55,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.0823636054992676,0.6520833333333333,0.665158371040724,0.6125,0.6916666666666667,0.6377440347071582,0.6409266406791788,0.30512433171862935,0.7198090277777778,166,74,93,147,0.004675626754760742
56,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.4044179916381836,0.60625,0.5648854961832062,0.925,0.2875,0.7014218009478673,0.793103447364249,0.275812709456167,0.6530555555555555,69,171,18,222,0.004473209381103516
57,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.307776927947998,0.64375,0.5966386554621849,0.8875,0.4,0.71356783919598,0.7804878042435058,0.3292777814366119,0.7208680555555554,96,144,27,213,0.004778385162353516
58,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.4869329929351807,0.6125,0.5794117647058824,0.8208333333333333,0.4041666666666667,0.6793103448275862,0.6928571423622449,0.24750859419761706,0.6909895833333333,97,143,43,197,0.004552602767944336
59,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.456232786178589,0.5770833333333333,0.5443645083932853,0.9458333333333333,0.20833333333333334,0.6910197869101978,0.7936507923910304,0.2282776651327549,0.6964236111111111,50,190,13,227,0.004484415054321289
60,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.570204257965088,0.5354166666666667,0.5185995623632386,0.9875,0.08333333333333333,0.6800573888091823,0.869565213610586,0.16581617904358262,0.70484375,20,220,3,237,0.004469871520996094
61,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.424881935119629,0.5291666666666667,0.5151515151515151,0.9916666666666667,0.06666666666666667,0.6780626780626781,0.8888888839506173,0.1535220621572794,0.6573090277777777,16,224,2,238,0.0046176910400390625
62,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.287128448486328,0.6958333333333333,0.6631944444444444,0.7958333333333333,0.5958333333333333,0.7234848484848485,0.7447916662787544,0.3997431177458659,0.7612152777777779,143,97,49,191,0.004509925842285156
63,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.2903547286987305,0.68125,0.6605166051660517,0.7458333333333333,0.6166666666666667,0.7005870841487281,0.708133970953046,0.3655623530480062,0.7694791666666668,148,92,61,179,0.004473447799682617
64,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.397153377532959,0.6708333333333333,0.6366666666666667,0.7958333333333333,0.5458333333333333,0.7074074074074074,0.7277777773734568,0.3528718159877869,0.7539236111111112,131,109,49,191,0.004799365997314453
65,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,11.475953578948975,0.7458333333333333,0.7341269841269841,0.7708333333333334,0.7208333333333333,0.7520325203252032,0.7587719294917668,0.49228240474972956,0.8291493055555554,173,67,55,185,0.004506826400756836
66,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.4078452587127686,0.56875,0.5390070921985816,0.95,0.1875,0.6877828054298641,0.7894736828254848,0.2125231911021767,0.6845486111111112,45,195,12,228,0.004482269287109375
67,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.5439629554748535,0.58125,0.5469879518072289,0.9458333333333333,0.21666666666666667,0.6931297709923664,0.7999999987692309,0.2374564005637134,0.6986458333333334,52,188,13,227,0.0044476985931396484
68,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.432699680328369,0.675,0.6578947368421053,0.7291666666666666,0.6208333333333333,0.6916996047430831,0.6962616819176347,0.35207207597278084,0.7464756944444444,149,91,65,175,0.004700422286987305
69,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.493065357208252,0.6958333333333333,0.6598639455782312,0.8083333333333333,0.5833333333333334,0.7265917602996256,0.7526881716383397,0.4019737712027819,0.7335243055555556,140,100,46,194,0.00453948974609375
70,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.4355716705322266,0.6583333333333333,0.62751677852349,0.7791666666666667,0.5375,0.6951672862453532,0.7087912084017631,0.32633959201470064,0.7456250000000001,129,111,53,187,0.0046253204345703125
71,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.49882435798645,0.6104166666666667,0.5726027397260274,0.8708333333333333,0.35,0.6909090909090909,0.7304347819735351,0.25869052201859144,0.7137326388888889,84,156,31,209,0.0048220157623291016
72,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.2007923126220703,0.6166666666666667,0.6044776119402985,0.675,0.5583333333333333,0.6377952755905512,0.6320754713999645,0.23493769283712096,0.6885069444444445,134,106,78,162,0.004575490951538086
73,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.4005162715911865,0.5708333333333333,0.5447368421052632,0.8625,0.2791666666666667,0.667741935483871,0.6699999993300001,0.1744163198544762,0.6426909722222222,67,173,33,207,0.004589557647705078
74,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.544538736343384,0.6083333333333333,0.5760233918128655,0.8208333333333333,0.3958333333333333,0.6769759450171822,0.6884057966026045,0.23935954322197991,0.7036458333333333,95,145,43,197,0.004579305648803711
75,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.401944637298584,0.5375,0.5197368421052632,0.9875,0.0875,0.6810344827586208,0.8749999963541666,0.17206180040292132,0.6927083333333335,21,219,3,237,0.004444122314453125
76,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.5384020805358887,0.6166666666666667,0.5729166666666666,0.9166666666666666,0.31666666666666665,0.7051282051282051,0.791666665842014,0.2916666666666667,0.7325173611111111,76,164,20,220,0.004488945007324219
77,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.4322948455810547,0.6541666666666667,0.6149068322981367,0.825,0.48333333333333334,0.704626334519573,0.7341772147252044,0.3280765885817971,0.733125,116,124,42,198,0.004463911056518555
78,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.603817939758301,0.5395833333333333,0.5210643015521065,0.9791666666666666,0.1,0.6801736613603474,0.8275862040428061,0.16613698740954336,0.6837500000000001,24,216,5,235,0.0043485164642333984
79,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.216059923171997,0.6458333333333334,0.6041666666666666,0.8458333333333333,0.44583333333333336,0.7048611111111112,0.7430555550395448,0.31823442326082224,0.7148611111111111,107,133,37,203,0.0044248104095458984
80,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.446519613265991,0.5916666666666667,0.5632183908045977,0.8166666666666667,0.36666666666666664,0.6666666666666665,0.6666666661616162,0.20529392068381325,0.6890104166666666,88,152,44,196,0.004433393478393555
81,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.4883697032928467,0.6020833333333333,0.5682451253481894,0.85,0.3541666666666667,0.681135225375626,0.7024793382624138,0.23510191713176104,0.6527256944444444,85,155,36,204,0.004572153091430664
82,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.5207204818725586,0.5333333333333333,0.5181818181818182,0.95,0.11666666666666667,0.6705882352941176,0.69999999825,0.12060453783110543,0.6350520833333334,28,212,12,228,0.004410505294799805
83,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.4630162715911865,0.6229166666666667,0.5967213114754099,0.7583333333333333,0.4875,0.6678899082568807,0.6685714281893878,0.25537775665638496,0.6786631944444446,117,123,58,182,0.0048274993896484375
